
Resultados nacionales
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de enseñanza
Unidades: Número de estudiantes

	Total									Ciencias Sociales y Jurídicas									Ingeniería y Arquitectura									Artes y Humanidades									Ciencias de la Salud									Ciencias									
	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	
Total	
    Total	
            Resto de Europa	837.0	847.0	815.0	780.0	709.0	774.0	801.0	792.0	780.0	423.0	427.0	372.0	403.0	364.0	416.0	417.0	396.0	391.0	94.0	91.0	84.0	78.0	64.0	69.0	81.0	64.0	59.0	144.0	158.0	148.0	123.0	121.0	126.0	144.0	164.0	165.0	143.0	137.0	170.0	144.0	125.0	117.0	120.0	129.0	132.0	33.0	34.0	41.0	32.0	35.0	46.0	39.0	39.0	33.0	
            EEUU y Canadá	60.0	58.0	46.0	50.0	48.0	53.0	61.0	50.0	70.0	27.0	24.0	25.0	14.0	23.0	17.0	16.0	14.0	22.0	8.0	5.0	4.0	3.0	3.0	5.0	3.0	2.0	5.0	11.0	17.0	10.0	22.0	14.0	25.0	36.0	25.0	30.0	10.0	8.0	7.0	8.0	6.0	4.0	3.0	7.0	7.0	4.0	4.0	0.0	3.0	2.0	2.0	3.0	2.0	6.0	
            América Latina y Caribe	3443.0	3131.0	2690.0	2740.0	2778.0	2552.0	2449.0	2252.0	2353.0	1662.0	1558.0	1336.0	1396.0	1452.0	1333.0	1281.0	1202.0	1337.0	496.0	405.0	323.0	356.0	349.0	317.0	300.0	233.0	217.0	481.0	418.0	359.0	356.0	320.0	296.0	271.0	297.0	275.0	647.0	608.0	543.0	529.0	549.0	494.0	478.0	418.0	430.0	157.0	142.0	129.0	103.0	108.0	112.0	119.0	102.0	94.0	
            Norte de África	1491.0	1295.0	1367.0	1430.0	1179.0	968.0	853.0	881.0	752.0	537.0	508.0	514.0	554.0	497.0	416.0	380.0	406.0	324.0	613.0	407.0	467.0	416.0	265.0	213.0	146.0	173.0	131.0	119.0	108.0	127.0	149.0	123.0	118.0	112.0	114.0	122.0	184.0	224.0	211.0	265.0	239.0	171.0	154.0	146.0	142.0	38.0	48.0	48.0	46.0	55.0	50.0	61.0	42.0	33.0	
            Resto de África	327.0	307.0	281.0	244.0	243.0	209.0	215.0	212.0	183.0	207.0	207.0	184.0	163.0	168.0	132.0	129.0	117.0	129.0	65.0	48.0	45.0	39.0	23.0	32.0	40.0	40.0	20.0	19.0	21.0	19.0	10.0	11.0	17.0	23.0	24.0	15.0	25.0	22.0	28.0	24.0	35.0	25.0	18.0	25.0	17.0	11.0	9.0	5.0	8.0	6.0	3.0	5.0	6.0	2.0	
            Asia y Oceanía	1237.0	1131.0	1096.0	1231.0	1160.0	1088.0	1039.0	942.0	906.0	564.0	518.0	553.0	632.0	618.0	608.0	613.0	544.0	570.0	242.0	225.0	202.0	194.0	161.0	140.0	137.0	119.0	114.0	175.0	146.0	157.0	221.0	218.0	200.0	158.0	170.0	133.0	181.0	175.0	130.0	134.0	104.0	104.0	91.0	84.0	64.0	75.0	67.0	54.0	50.0	59.0	36.0	40.0	25.0	25.0	
    Presencial	
        Ambos sexos	
            Total	237033.0	232944.0	230891.0	233937.0	230509.0	231754.0	232205.0	235807.0	237884.0	103877.0	103349.0	103792.0	106042.0	104506.0	105943.0	107057.0	108693.0	108673.0	53681.0	50756.0	49205.0	48510.0	48114.0	48010.0	47730.0	48952.0	50883.0	23263.0	23908.0	24640.0	25690.0	24664.0	24707.0	24526.0	25097.0	24408.0	38598.0	37424.0	36256.0	36190.0	35918.0	35792.0	35448.0	35339.0	36054.0	17614.0	17507.0	16998.0	17505.0	17307.0	17302.0	17444.0	17726.0	17866.0	
            España	220565.0	218097.0	216995.0	219923.0	216651.0	218827.0	219913.0	224156.0	226743.0	96551.0	96977.0	97731.0	99954.0	98285.0	100071.0	101400.0	103407.0	103456.0	49186.0	46730.0	45515.0	44868.0	44688.0	45026.0	44964.0	46339.0	48471.0	21423.0	22163.0	22956.0	23874.0	22963.0	22992.0	22898.0	23439.0	22924.0	36532.0	35395.0	34395.0	34310.0	33983.0	34026.0	33763.0	33756.0	34532.0	16873.0	16832.0	16398.0	16917.0	16732.0	16712.0	16888.0	17215.0	17360.0	
            Unión Europea	5112.0	4701.0	4528.0	4577.0	4658.0	4631.0	4486.0	4313.0	3957.0	2390.0	1987.0	2012.0	1959.0	1965.0	1995.0	1918.0	1842.0	1703.0	917.0	896.0	795.0	832.0	909.0	786.0	764.0	753.0	688.0	600.0	615.0	617.0	671.0	677.0	706.0	662.0	660.0	588.0	944.0	956.0	898.0	876.0	889.0	908.0	923.0	857.0	768.0	261.0	247.0	206.0	239.0	218.0	236.0	219.0	201.0	210.0	
            Resto de Europa	1307.0	1278.0	1152.0	1021.0	994.0	1046.0	1107.0	1109.0	1049.0	629.0	596.0	509.0	489.0	456.0	486.0	531.0	517.0	486.0	290.0	292.0	262.0	219.0	220.0	236.0	246.0	239.0	199.0	182.0	192.0	177.0	145.0	134.0	145.0	166.0	178.0	177.0	148.0	145.0	146.0	121.0	127.0	120.0	110.0	122.0	131.0	58.0	53.0	58.0	47.0	57.0	59.0	54.0	53.0	56.0	
            EEUU y Canadá	98.0	78.0	70.0	70.0	61.0	68.0	83.0	62.0	88.0	50.0	33.0	35.0	25.0	33.0	26.0	24.0	18.0	31.0	17.0	15.0	12.0	9.0	10.0	9.0	7.0	4.0	13.0	18.0	18.0	17.0	26.0	15.0	23.0	45.0	29.0	32.0	9.0	8.0	4.0	7.0	3.0	7.0	2.0	8.0	8.0	4.0	4.0	2.0	3.0	0.0	3.0	5.0	3.0	4.0	
            América Latina y Caribe	4507.0	3938.0	3336.0	3222.0	3556.0	3249.0	2967.0	2772.0	2826.0	2065.0	1808.0	1539.0	1467.0	1663.0	1538.0	1385.0	1302.0	1405.0	1157.0	1044.0	831.0	831.0	955.0	835.0	775.0	688.0	664.0	606.0	522.0	444.0	432.0	380.0	380.0	336.0	346.0	303.0	467.0	387.0	359.0	364.0	424.0	349.0	333.0	304.0	327.0	212.0	177.0	163.0	128.0	134.0	147.0	138.0	132.0	127.0	
            Norte de África	2642.0	2225.0	2385.0	2532.0	2039.0	1518.0	1358.0	1349.0	1193.0	949.0	789.0	824.0	894.0	770.0	607.0	552.0	538.0	425.0	1235.0	947.0	1063.0	1066.0	721.0	499.0	420.0	444.0	403.0	175.0	156.0	167.0	200.0	159.0	140.0	136.0	146.0	135.0	220.0	267.0	265.0	308.0	314.0	209.0	184.0	167.0	180.0	63.0	66.0	66.0	64.0	75.0	63.0	66.0	54.0	50.0	
            Resto de África	514.0	509.0	422.0	349.0	378.0	359.0	364.0	303.0	288.0	282.0	295.0	226.0	197.0	223.0	185.0	177.0	150.0	174.0	170.0	148.0	139.0	99.0	98.0	113.0	127.0	86.0	70.0	21.0	25.0	30.0	16.0	19.0	32.0	31.0	27.0	17.0	26.0	27.0	20.0	23.0	33.0	23.0	21.0	28.0	18.0	15.0	14.0	7.0	14.0	5.0	6.0	8.0	12.0	9.0	
            Asia y Oceanía	2288.0	2118.0	2003.0	2243.0	2172.0	2056.0	1927.0	1743.0	1740.0	961.0	864.0	916.0	1057.0	1111.0	1035.0	1070.0	919.0	993.0	709.0	684.0	588.0	586.0	513.0	506.0	427.0	399.0	375.0	238.0	217.0	232.0	326.0	317.0	289.0	252.0	272.0	232.0	252.0	239.0	169.0	181.0	145.0	150.0	112.0	97.0	90.0	128.0	114.0	98.0	93.0	86.0	76.0	66.0	56.0	50.0	
        Hombres	
            Total	103685.0	101885.0	100519.0	102461.0	102853.0	104360.0	105278.0	108213.0	109751.0	40238.0	40053.0	39884.0	40647.0	40668.0	41638.0	42570.0	43577.0	43654.0	37703.0	36328.0	35284.0	35468.0	35787.0	36426.0	36357.0	37276.0	38828.0	7576.0	7811.0	8197.0	8889.0	8686.0	8678.0	8734.0	9142.0	8883.0	9884.0	9533.0	9185.0	9101.0	9432.0	9432.0	9406.0	9615.0	9810.0	8284.0	8160.0	7969.0	8356.0	8280.0	8186.0	8211.0	8603.0	8576.0	
            España	96589.0	95589.0	94677.0	96653.0	96951.0	98994.0	100277.0	103392.0	105140.0	37282.0	37750.0	37634.0	38482.0	38351.0	39505.0	40542.0	41681.0	41847.0	34988.0	33715.0	32936.0	33118.0	33475.0	34405.0	34494.0	35491.0	37121.0	7051.0	7296.0	7732.0	8357.0	8175.0	8183.0	8270.0	8684.0	8456.0	9298.0	8934.0	8658.0	8580.0	8908.0	8960.0	8953.0	9153.0	9367.0	7970.0	7894.0	7717.0	8116.0	8042.0	7941.0	8018.0	8383.0	8349.0	
            Unión Europea	2156.0	1843.0	1742.0	1746.0	1831.0	1753.0	1683.0	1711.0	1486.0	976.0	642.0	697.0	622.0	662.0	655.0	610.0	633.0	511.0	609.0	617.0	538.0	585.0	633.0	566.0	540.0	531.0	503.0	153.0	171.0	135.0	168.0	186.0	182.0	167.0	166.0	139.0	306.0	312.0	294.0	282.0	261.0	262.0	285.0	286.0	241.0	112.0	101.0	78.0	89.0	89.0	88.0	81.0	95.0	92.0	
            Resto de Europa	578.0	549.0	466.0	382.0	398.0	393.0	427.0	448.0	406.0	255.0	214.0	184.0	154.0	158.0	137.0	178.0	189.0	171.0	201.0	203.0	182.0	148.0	158.0	171.0	168.0	178.0	142.0	53.0	55.0	49.0	38.0	29.0	35.0	36.0	36.0	42.0	38.0	53.0	26.0	20.0	28.0	26.0	27.0	29.0	27.0	31.0	24.0	25.0	22.0	25.0	24.0	18.0	16.0	24.0	
            EEUU y Canadá	46.0	28.0	30.0	28.0	25.0	28.0	32.0	21.0	29.0	29.0	12.0	11.0	13.0	12.0	13.0	11.0	8.0	12.0	9.0	10.0	9.0	6.0	7.0	5.0	4.0	2.0	8.0	7.0	5.0	7.0	7.0	5.0	4.0	14.0	6.0	7.0	1.0	1.0	1.0	2.0	1.0	4.0	0.0	3.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	2.0	1.0	
            América Latina y Caribe	1778.0	1621.0	1353.0	1251.0	1491.0	1384.0	1185.0	1118.0	1179.0	729.0	644.0	535.0	465.0	583.0	572.0	470.0	421.0	465.0	691.0	673.0	530.0	500.0	621.0	539.0	494.0	471.0	460.0	176.0	156.0	132.0	142.0	132.0	135.0	111.0	96.0	109.0	101.0	89.0	89.0	90.0	98.0	73.0	63.0	79.0	88.0	81.0	59.0	67.0	54.0	57.0	65.0	47.0	51.0	57.0	
            Norte de África	1220.0	1000.0	1111.0	1200.0	944.0	624.0	575.0	563.0	522.0	445.0	322.0	357.0	397.0	319.0	228.0	214.0	193.0	150.0	629.0	545.0	604.0	652.0	460.0	292.0	277.0	275.0	280.0	64.0	51.0	51.0	59.0	46.0	31.0	27.0	39.0	21.0	54.0	58.0	72.0	68.0	87.0	52.0	45.0	38.0	53.0	28.0	24.0	27.0	24.0	32.0	21.0	12.0	18.0	18.0	
            Resto de África	234.0	240.0	197.0	150.0	169.0	186.0	172.0	125.0	133.0	108.0	114.0	85.0	71.0	76.0	80.0	65.0	59.0	65.0	106.0	104.0	95.0	63.0	77.0	81.0	87.0	47.0	51.0	5.0	6.0	11.0	8.0	9.0	17.0	10.0	7.0	5.0	9.0	10.0	3.0	2.0	4.0	4.0	6.0	6.0	4.0	6.0	6.0	3.0	6.0	3.0	4.0	4.0	6.0	8.0	
            Asia y Oceanía	1084.0	1015.0	943.0	1051.0	1044.0	998.0	927.0	835.0	856.0	414.0	355.0	381.0	443.0	507.0	448.0	480.0	393.0	433.0	470.0	461.0	390.0	396.0	356.0	367.0	293.0	281.0	263.0	67.0	71.0	80.0	110.0	104.0	91.0	99.0	108.0	104.0	77.0	76.0	42.0	57.0	45.0	51.0	27.0	21.0	29.0	56.0	52.0	50.0	45.0	32.0	41.0	28.0	32.0	27.0	
        Mujeres	
            Total	133348.0	131059.0	130372.0	131476.0	127656.0	127394.0	126927.0	127594.0	128133.0	63639.0	63296.0	63908.0	65395.0	63838.0	64305.0	64487.0	65116.0	65019.0	15978.0	14428.0	13921.0	13042.0	12327.0	11584.0	11373.0	11676.0	12055.0	15687.0	16097.0	16443.0	16801.0	15978.0	16029.0	15792.0	15955.0	15525.0	28714.0	27891.0	27071.0	27089.0	26486.0	26360.0	26042.0	25724.0	26244.0	9330.0	9347.0	9029.0	9149.0	9027.0	9116.0	9233.0	9123.0	9290.0	
            España	123976.0	122508.0	122318.0	123270.0	119700.0	119833.0	119636.0	120764.0	121603.0	59269.0	59227.0	60097.0	61472.0	59934.0	60566.0	60858.0	61726.0	61609.0	14198.0	13015.0	12579.0	11750.0	11213.0	10621.0	10470.0	10848.0	11350.0	14372.0	14867.0	15224.0	15517.0	14788.0	14809.0	14628.0	14755.0	14468.0	27234.0	26461.0	25737.0	25730.0	25075.0	25066.0	24810.0	24603.0	25165.0	8903.0	8938.0	8681.0	8801.0	8690.0	8771.0	8870.0	8832.0	9011.0	
            Unión Europea	2956.0	2858.0	2786.0	2831.0	2827.0	2878.0	2803.0	2602.0	2471.0	1414.0	1345.0	1315.0	1337.0	1303.0	1340.0	1308.0	1209.0	1192.0	308.0	279.0	257.0	247.0	276.0	220.0	224.0	222.0	185.0	447.0	444.0	482.0	503.0	491.0	524.0	495.0	494.0	449.0	638.0	644.0	604.0	594.0	628.0	646.0	638.0	571.0	527.0	149.0	146.0	128.0	150.0	129.0	148.0	138.0	106.0	118.0	
            Resto de Europa	729.0	729.0	686.0	639.0	596.0	653.0	680.0	661.0	643.0	374.0	382.0	325.0	335.0	298.0	349.0	353.0	328.0	315.0	89.0	89.0	80.0	71.0	62.0	65.0	78.0	61.0	57.0	129.0	137.0	128.0	107.0	105.0	110.0	130.0	142.0	135.0	110.0	92.0	120.0	101.0	99.0	94.0	83.0	93.0	104.0	27.0	29.0	33.0	25.0	32.0	35.0	36.0	37.0	32.0	
            EEUU y Canadá	52.0	50.0	40.0	42.0	36.0	40.0	51.0	41.0	59.0	21.0	21.0	24.0	12.0	21.0	13.0	13.0	10.0	19.0	8.0	5.0	3.0	3.0	3.0	4.0	3.0	2.0	5.0	11.0	13.0	10.0	19.0	10.0	19.0	31.0	23.0	25.0	8.0	7.0	3.0	5.0	2.0	3.0	2.0	5.0	7.0	4.0	4.0	0.0	3.0	0.0	1.0	2.0	1.0	3.0	
            América Latina y Caribe	2729.0	2317.0	1983.0	1971.0	2065.0	1865.0	1782.0	1654.0	1647.0	1336.0	1164.0	1004.0	1002.0	1080.0	966.0	915.0	881.0	940.0	466.0	371.0	301.0	331.0	334.0	296.0	281.0	217.0	204.0	430.0	366.0	312.0	290.0	248.0	245.0	225.0	250.0	194.0	366.0	298.0	270.0	274.0	326.0	276.0	270.0	225.0	239.0	131.0	118.0	96.0	74.0	77.0	82.0	91.0	81.0	70.0	
            Norte de África	1422.0	1225.0	1274.0	1332.0	1095.0	894.0	783.0	786.0	671.0	504.0	467.0	467.0	497.0	451.0	379.0	338.0	345.0	275.0	606.0	402.0	459.0	414.0	261.0	207.0	143.0	169.0	123.0	111.0	105.0	116.0	141.0	113.0	109.0	109.0	107.0	114.0	166.0	209.0	193.0	240.0	227.0	157.0	139.0	129.0	127.0	35.0	42.0	39.0	40.0	43.0	42.0	54.0	36.0	32.0	
            Resto de África	280.0	269.0	225.0	199.0	209.0	173.0	192.0	178.0	155.0	174.0	181.0	141.0	126.0	147.0	105.0	112.0	91.0	109.0	64.0	44.0	44.0	36.0	21.0	32.0	40.0	39.0	19.0	16.0	19.0	19.0	8.0	10.0	15.0	21.0	20.0	12.0	17.0	17.0	17.0	21.0	29.0	19.0	15.0	22.0	14.0	9.0	8.0	4.0	8.0	2.0	2.0	4.0	6.0	1.0	
            Asia y Oceanía	1204.0	1103.0	1060.0	1192.0	1128.0	1058.0	1000.0	908.0	884.0	547.0	509.0	535.0	614.0	604.0	587.0	590.0	526.0	560.0	239.0	223.0	198.0	190.0	157.0	139.0	134.0	118.0	112.0	171.0	146.0	152.0	216.0	213.0	198.0	153.0	164.0	128.0	175.0	163.0	127.0	124.0	100.0	99.0	85.0	76.0	61.0	72.0	62.0	48.0	48.0	54.0	35.0	38.0	24.0	23.0	
    No Presencial	
        Ambos sexos	
            Total	37372.0	40206.0	39443.0	53205.0	47770.0	45478.0	46055.0	48733.0	53218.0	16199.0	17767.0	15794.0	23160.0	21342.0	20494.0	23052.0	22001.0	24645.0	2802.0	2765.0	2638.0	3203.0	2950.0	3369.0	3094.0	3764.0	4134.0	6294.0	6353.0	7347.0	10873.0	10728.0	8898.0	8237.0	9737.0	10445.0	9210.0	10184.0	10119.0	11706.0	8932.0	8910.0	8423.0	9750.0	10387.0	2867.0	3137.0	3545.0	4263.0	3818.0	3807.0	3249.0	3481.0	3607.0	
            España	35014.0	37728.0	36860.0	50424.0	45084.0	43051.0	43750.0	46443.0	50755.0	15148.0	16681.0	14584.0	21833.0	19997.0	19282.0	21844.0	20823.0	23381.0	2582.0	2530.0	2449.0	2995.0	2764.0	3164.0	2924.0	3578.0	3940.0	6076.0	6141.0	7065.0	10518.0	10338.0	8599.0	7965.0	9441.0	10058.0	8513.0	9410.0	9408.0	11007.0	8352.0	8359.0	7893.0	9248.0	9894.0	2695.0	2966.0	3354.0	4071.0	3633.0	3647.0	3124.0	3353.0	3482.0	
            Unión Europea	801.0	774.0	768.0	1048.0	990.0	894.0	850.0	864.0	946.0	335.0	276.0	298.0	435.0	456.0	401.0	420.0	400.0	439.0	57.0	64.0	37.0	65.0	58.0	72.0	59.0	63.0	65.0	93.0	84.0	116.0	201.0	190.0	141.0	141.0	156.0	194.0	259.0	296.0	248.0	275.0	227.0	221.0	189.0	191.0	189.0	57.0	54.0	69.0	72.0	59.0	59.0	41.0	54.0	59.0	
            Resto de Europa	155.0	159.0	194.0	191.0	164.0	170.0	167.0	175.0	179.0	67.0	58.0	66.0	95.0	87.0	88.0	90.0	91.0	98.0	16.0	6.0	19.0	16.0	13.0	10.0	12.0	12.0	6.0	19.0	27.0	36.0	19.0	24.0	21.0	18.0	25.0	36.0	38.0	53.0	56.0	50.0	33.0	33.0	40.0	39.0	34.0	15.0	15.0	17.0	11.0	7.0	18.0	7.0	8.0	5.0	
            EEUU y Canadá	20.0	18.0	21.0	16.0	28.0	22.0	19.0	13.0	15.0	8.0	6.0	6.0	3.0	6.0	6.0	6.0	5.0	3.0	1.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	8.0	5.0	6.0	8.0	8.0	9.0	3.0	7.0	4.0	2.0	6.0	5.0	8.0	6.0	3.0	3.0	0.0	2.0	1.0	0.0	2.0	6.0	1.0	1.0	2.0	5.0	
            América Latina y Caribe	1114.0	1237.0	1277.0	1152.0	1147.0	1045.0	989.0	917.0	1042.0	489.0	585.0	650.0	573.0	588.0	536.0	515.0	475.0	546.0	107.0	126.0	91.0	82.0	74.0	85.0	74.0	78.0	84.0	82.0	77.0	97.0	96.0	135.0	106.0	82.0	82.0	124.0	357.0	378.0	359.0	320.0	277.0	258.0	259.0	234.0	241.0	79.0	71.0	80.0	81.0	73.0	60.0	59.0	48.0	47.0	
            Norte de África	112.0	128.0	157.0	200.0	174.0	140.0	130.0	159.0	147.0	57.0	72.0	86.0	106.0	93.0	61.0	72.0	93.0	86.0	18.0	16.0	21.0	27.0	16.0	30.0	17.0	21.0	23.0	10.0	8.0	14.0	17.0	22.0	12.0	9.0	13.0	13.0	20.0	18.0	25.0	31.0	19.0	20.0	22.0	21.0	20.0	7.0	14.0	11.0	19.0	24.0	17.0	10.0	11.0	5.0	
            Resto de África	105.0	109.0	111.0	117.0	120.0	105.0	95.0	110.0	96.0	74.0	73.0	79.0	90.0	87.0	87.0	72.0	87.0	69.0	10.0	13.0	9.0	9.0	13.0	4.0	4.0	8.0	11.0	4.0	5.0	6.0	9.0	4.0	5.0	6.0	9.0	8.0	11.0	12.0	13.0	7.0	9.0	7.0	10.0	5.0	6.0	6.0	6.0	4.0	2.0	7.0	2.0	3.0	1.0	2.0	
            Asia y Oceanía	51.0	53.0	55.0	57.0	63.0	51.0	55.0	52.0	38.0	21.0	16.0	25.0	25.0	28.0	33.0	33.0	27.0	23.0	11.0	9.0	8.0	9.0	12.0	3.0	4.0	4.0	5.0	5.0	3.0	8.0	7.0	7.0	6.0	7.0	8.0	5.0	8.0	15.0	4.0	11.0	7.0	6.0	7.0	9.0	3.0	6.0	10.0	10.0	5.0	9.0	3.0	4.0	4.0	2.0	
        Hombres	
            Total	15265.0	15900.0	17191.0	23176.0	22815.0	21432.0	21367.0	22830.0	25120.0	5702.0	5967.0	6670.0	9634.0	9776.0	9191.0	10387.0	9978.0	11320.0	2298.0	2272.0	2176.0	2646.0	2517.0	2867.0	2627.0	3264.0	3571.0	3076.0	3122.0	3591.0	5219.0	5539.0	4367.0	3915.0	4586.0	4893.0	2390.0	2588.0	2602.0	2990.0	2482.0	2559.0	2347.0	2791.0	3007.0	1799.0	1951.0	2152.0	2687.0	2501.0	2448.0	2091.0	2211.0	2329.0	
            España	14467.0	15066.0	16181.0	22232.0	21780.0	20544.0	20588.0	22019.0	24295.0	5371.0	5611.0	6164.0	9207.0	9276.0	8782.0	10001.0	9596.0	10925.0	2135.0	2105.0	2033.0	2496.0	2374.0	2708.0	2502.0	3112.0	3424.0	3011.0	3052.0	3478.0	5107.0	5385.0	4244.0	3817.0	4489.0	4773.0	2253.0	2448.0	2457.0	2847.0	2353.0	2446.0	2244.0	2684.0	2906.0	1697.0	1850.0	2049.0	2575.0	2392.0	2364.0	2024.0	2138.0	2267.0	
            Unión Europea	220.0	206.0	222.0	311.0	327.0	316.0	254.0	286.0	293.0	79.0	64.0	82.0	111.0	132.0	121.0	113.0	102.0	125.0	46.0	43.0	31.0	48.0	42.0	59.0	42.0	54.0	44.0	21.0	24.0	30.0	58.0	62.0	51.0	42.0	45.0	59.0	47.0	50.0	41.0	58.0	51.0	50.0	32.0	55.0	37.0	27.0	25.0	38.0	36.0	40.0	35.0	25.0	30.0	28.0	
            Resto de Europa	47.0	41.0	65.0	50.0	51.0	49.0	46.0	44.0	42.0	18.0	13.0	19.0	27.0	21.0	21.0	26.0	23.0	22.0	11.0	4.0	15.0	9.0	11.0	6.0	9.0	9.0	4.0	4.0	6.0	16.0	3.0	8.0	5.0	4.0	3.0	6.0	5.0	8.0	6.0	7.0	7.0	10.0	3.0	3.0	6.0	9.0	10.0	9.0	4.0	4.0	7.0	4.0	6.0	4.0	
            EEUU y Canadá	12.0	10.0	15.0	8.0	16.0	9.0	9.0	4.0	4.0	2.0	3.0	5.0	1.0	4.0	2.0	3.0	1.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	5.0	3.0	4.0	2.0	4.0	1.0	2.0	2.0	1.0	2.0	2.0	4.0	5.0	2.0	1.0	0.0	2.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	2.0	
            América Latina y Caribe	400.0	423.0	570.0	383.0	434.0	358.0	322.0	319.0	336.0	163.0	191.0	318.0	179.0	216.0	169.0	149.0	154.0	149.0	77.0	92.0	69.0	57.0	59.0	64.0	55.0	62.0	71.0	31.0	25.0	50.0	30.0	63.0	55.0	36.0	35.0	43.0	76.0	68.0	86.0	65.0	54.0	40.0	51.0	41.0	50.0	53.0	47.0	47.0	52.0	42.0	30.0	31.0	27.0	23.0	
            Norte de África	43.0	58.0	64.0	102.0	90.0	66.0	60.0	64.0	66.0	24.0	31.0	39.0	49.0	47.0	24.0	30.0	32.0	37.0	11.0	11.0	13.0	25.0	12.0	24.0	14.0	17.0	15.0	2.0	5.0	3.0	9.0	12.0	3.0	6.0	6.0	5.0	2.0	3.0	7.0	6.0	7.0	6.0	7.0	4.0	5.0	4.0	8.0	2.0	13.0	12.0	9.0	3.0	5.0	4.0	
            Resto de África	58.0	71.0	55.0	72.0	86.0	69.0	72.0	76.0	68.0	41.0	47.0	36.0	53.0	66.0	60.0	55.0	61.0	49.0	9.0	9.0	8.0	6.0	11.0	4.0	4.0	7.0	10.0	1.0	3.0	6.0	7.0	3.0	3.0	4.0	5.0	5.0	3.0	7.0	2.0	4.0	3.0	1.0	7.0	2.0	3.0	4.0	5.0	3.0	2.0	3.0	1.0	2.0	1.0	1.0	
            Asia y Oceanía	18.0	25.0	19.0	18.0	31.0	21.0	16.0	18.0	16.0	4.0	7.0	7.0	7.0	14.0	12.0	10.0	9.0	13.0	8.0	7.0	4.0	5.0	8.0	2.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	4.0	2.0	2.0	0.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	0.0	3.0	5.0	4.0	3.0	4.0	2.0	2.0	3.0	0.0	
        Mujeres	
            Total	22107.0	24306.0	22252.0	30029.0	24955.0	24046.0	24688.0	25903.0	28098.0	10497.0	11800.0	9124.0	13526.0	11566.0	11303.0	12665.0	12023.0	13325.0	504.0	493.0	462.0	557.0	433.0	502.0	467.0	500.0	563.0	3218.0	3231.0	3756.0	5654.0	5189.0	4531.0	4322.0	5151.0	5552.0	6820.0	7596.0	7517.0	8716.0	6450.0	6351.0	6076.0	6959.0	7380.0	1068.0	1186.0	1393.0	1576.0	1317.0	1359.0	1158.0	1270.0	1278.0	
            España	20547.0	22662.0	20679.0	28192.0	23304.0	22507.0	23162.0	24424.0	26460.0	9777.0	11070.0	8420.0	12626.0	10721.0	10500.0	11843.0	11227.0	12456.0	447.0	425.0	416.0	499.0	390.0	456.0	422.0	466.0	516.0	3065.0	3089.0	3587.0	5411.0	4953.0	4355.0	4148.0	4952.0	5285.0	6260.0	6962.0	6951.0	8160.0	5999.0	5913.0	5649.0	6564.0	6988.0	998.0	1116.0	1305.0	1496.0	1241.0	1283.0	1100.0	1215.0	1215.0	
            Unión Europea	581.0	568.0	546.0	737.0	663.0	578.0	596.0	578.0	653.0	256.0	212.0	216.0	324.0	324.0	280.0	307.0	298.0	314.0	11.0	21.0	6.0	17.0	16.0	13.0	17.0	9.0	21.0	72.0	60.0	86.0	143.0	128.0	90.0	99.0	111.0	135.0	212.0	246.0	207.0	217.0	176.0	171.0	157.0	136.0	152.0	30.0	29.0	31.0	36.0	19.0	24.0	16.0	24.0	31.0	
            Resto de Europa	108.0	118.0	129.0	141.0	113.0	121.0	121.0	131.0	137.0	49.0	45.0	47.0	68.0	66.0	67.0	64.0	68.0	76.0	5.0	2.0	4.0	7.0	2.0	4.0	3.0	3.0	2.0	15.0	21.0	20.0	16.0	16.0	16.0	14.0	22.0	30.0	33.0	45.0	50.0	43.0	26.0	23.0	37.0	36.0	28.0	6.0	5.0	8.0	7.0	3.0	11.0	3.0	2.0	1.0	
            EEUU y Canadá	8.0	8.0	6.0	8.0	12.0	13.0	10.0	9.0	11.0	6.0	3.0	1.0	2.0	2.0	4.0	3.0	4.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	4.0	6.0	5.0	2.0	5.0	2.0	1.0	4.0	3.0	4.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	3.0	
