
Resultados nacionales
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de enseñanza
Unidades: Número de estudiantes

	Total									Ciencias Sociales y Jurídicas									Ingeniería y Arquitectura									Artes y Humanidades									Ciencias de la Salud									Ciencias									
	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	
Total	
    Total	
            Resto de Europa	1387.0	1309.0	1248.0	1100.0	1030.0	1029.0	1077.0	1007.0	977.0	698.0	671.0	603.0	578.0	538.0	549.0	569.0	514.0	506.0	133.0	118.0	112.0	101.0	90.0	94.0	100.0	76.0	63.0	187.0	200.0	181.0	147.0	135.0	143.0	164.0	178.0	173.0	328.0	279.0	307.0	240.0	228.0	195.0	201.0	197.0	197.0	41.0	41.0	45.0	34.0	39.0	48.0	43.0	42.0	38.0	
            EEUU y Canadá	324.0	271.0	222.0	187.0	182.0	185.0	163.0	117.0	117.0	190.0	172.0	135.0	101.0	108.0	99.0	66.0	56.0	53.0	35.0	22.0	17.0	9.0	10.0	13.0	6.0	4.0	8.0	28.0	30.0	25.0	31.0	20.0	36.0	50.0	32.0	33.0	63.0	40.0	39.0	41.0	40.0	35.0	36.0	20.0	17.0	8.0	7.0	6.0	5.0	4.0	2.0	5.0	5.0	6.0	
            América Latina y Caribe	6190.0	5756.0	4757.0	4265.0	4226.0	3715.0	3466.0	3006.0	2977.0	3122.0	3081.0	2582.0	2343.0	2381.0	2031.0	1885.0	1652.0	1701.0	785.0	646.0	511.0	477.0	469.0	428.0	421.0	295.0	266.0	770.0	678.0	560.0	479.0	437.0	382.0	343.0	345.0	310.0	1305.0	1155.0	946.0	835.0	816.0	743.0	683.0	608.0	595.0	208.0	196.0	158.0	131.0	123.0	131.0	134.0	106.0	105.0	
            Norte de África	1749.0	1551.0	1555.0	1623.0	1365.0	1110.0	947.0	971.0	827.0	629.0	636.0	610.0	626.0	578.0	475.0	409.0	446.0	350.0	644.0	433.0	485.0	431.0	284.0	223.0	155.0	181.0	140.0	126.0	114.0	134.0	157.0	128.0	121.0	114.0	116.0	122.0	309.0	318.0	275.0	359.0	320.0	239.0	206.0	186.0	181.0	41.0	50.0	51.0	50.0	55.0	52.0	63.0	42.0	34.0	
            Resto de África	440.0	395.0	342.0	303.0	306.0	260.0	269.0	240.0	219.0	262.0	257.0	217.0	196.0	208.0	155.0	150.0	137.0	149.0	78.0	60.0	55.0	41.0	32.0	40.0	50.0	42.0	20.0	33.0	22.0	23.0	15.0	15.0	19.0	24.0	24.0	17.0	53.0	47.0	42.0	40.0	45.0	40.0	36.0	31.0	29.0	14.0	9.0	5.0	11.0	6.0	6.0	9.0	6.0	4.0	
            Asia y Oceanía	1610.0	1416.0	1368.0	1500.0	1384.0	1281.0	1206.0	1077.0	1055.0	729.0	656.0	696.0	758.0	725.0	683.0	677.0	588.0	623.0	295.0	250.0	235.0	210.0	165.0	153.0	152.0	131.0	123.0	216.0	172.0	187.0	257.0	230.0	219.0	171.0	177.0	143.0	290.0	268.0	194.0	221.0	202.0	187.0	164.0	155.0	141.0	80.0	70.0	56.0	54.0	62.0	39.0	42.0	26.0	25.0	
    Presencial	
        Ambos sexos	
            Total	296533.0	291221.0	281846.0	281483.0	274183.0	271822.0	271381.0	273814.0	275967.0	132192.0	133349.0	128824.0	130361.0	127133.0	125537.0	127117.0	128323.0	128296.0	60541.0	56954.0	54676.0	53080.0	52576.0	52508.0	51768.0	52522.0	54392.0	26977.0	26673.0	27255.0	27861.0	26600.0	26734.0	26449.0	26676.0	25907.0	58170.0	55748.0	53187.0	51825.0	49780.0	49096.0	47931.0	47805.0	48774.0	18653.0	18497.0	17904.0	18356.0	18094.0	17947.0	18116.0	18488.0	18598.0	
            España	269798.0	267350.0	259980.0	260877.0	253653.0	252967.0	253666.0	257261.0	260483.0	120237.0	122879.0	119296.0	121554.0	117974.0	117362.0	119406.0	121282.0	121674.0	54970.0	52073.0	50342.0	49002.0	48675.0	49101.0	48569.0	49629.0	51756.0	24499.0	24474.0	25213.0	25715.0	24652.0	24805.0	24581.0	24897.0	24263.0	52304.0	50212.0	47912.0	46909.0	44893.0	44392.0	43605.0	43508.0	44742.0	17788.0	17712.0	17217.0	17697.0	17459.0	17307.0	17505.0	17945.0	18048.0	
            Unión Europea	9357.0	8729.0	8459.0	8030.0	8147.0	7962.0	7592.0	7438.0	6651.0	3740.0	3267.0	3166.0	2975.0	3067.0	2892.0	2801.0	2640.0	2287.0	1125.0	1095.0	912.0	903.0	993.0	868.0	842.0	815.0	725.0	739.0	700.0	694.0	746.0	750.0	758.0	712.0	693.0	627.0	3470.0	3400.0	3462.0	3143.0	3105.0	3200.0	3005.0	3076.0	2789.0	283.0	267.0	225.0	263.0	232.0	244.0	232.0	214.0	223.0	
            Resto de Europa	2123.0	1930.0	1704.0	1405.0	1373.0	1342.0	1420.0	1383.0	1323.0	1060.0	959.0	804.0	700.0	667.0	642.0	693.0	682.0	652.0	361.0	348.0	314.0	255.0	265.0	277.0	284.0	257.0	217.0	225.0	224.0	208.0	166.0	145.0	159.0	183.0	186.0	185.0	405.0	338.0	315.0	235.0	234.0	202.0	200.0	202.0	206.0	72.0	61.0	63.0	49.0	62.0	62.0	60.0	56.0	63.0	
            EEUU y Canadá	487.0	422.0	324.0	296.0	295.0	273.0	238.0	159.0	169.0	301.0	276.0	191.0	175.0	192.0	158.0	108.0	78.0	83.0	61.0	46.0	39.0	23.0	23.0	24.0	12.0	8.0	17.0	38.0	42.0	36.0	40.0	23.0	36.0	60.0	39.0	38.0	76.0	51.0	46.0	53.0	51.0	52.0	50.0	28.0	26.0	11.0	7.0	12.0	5.0	6.0	3.0	8.0	6.0	5.0	
            América Latina y Caribe	8088.0	6860.0	5738.0	4893.0	5340.0	4717.0	4258.0	3720.0	3682.0	4110.0	3503.0	2993.0	2434.0	2769.0	2401.0	2103.0	1849.0	1849.0	1727.0	1480.0	1165.0	1065.0	1219.0	1058.0	1022.0	838.0	788.0	934.0	765.0	616.0	571.0	499.0	484.0	447.0	397.0	373.0	1042.0	866.0	757.0	664.0	690.0	597.0	525.0	493.0	526.0	275.0	246.0	207.0	159.0	163.0	177.0	161.0	143.0	146.0	
            Norte de África	3036.0	2580.0	2657.0	2802.0	2282.0	1716.0	1520.0	1498.0	1316.0	1098.0	947.0	943.0	988.0	862.0	683.0	611.0	605.0	472.0	1294.0	995.0	1103.0	1095.0	758.0	523.0	436.0	460.0	420.0	182.0	167.0	174.0	207.0	163.0	143.0	138.0	146.0	135.0	395.0	401.0	366.0	444.0	422.0	301.0	266.0	232.0	238.0	67.0	70.0	71.0	68.0	77.0	66.0	69.0	55.0	51.0	
            Resto de África	693.0	643.0	512.0	447.0	457.0	431.0	445.0	351.0	338.0	363.0	367.0	266.0	239.0	269.0	217.0	200.0	173.0	197.0	198.0	170.0	156.0	112.0	114.0	126.0	147.0	95.0	72.0	49.0	36.0	42.0	34.0	23.0	38.0	43.0	33.0	26.0	64.0	55.0	41.0	45.0	46.0	41.0	42.0	38.0	32.0	19.0	15.0	7.0	17.0	5.0	9.0	13.0	12.0	11.0	
            Asia y Oceanía	2951.0	2707.0	2472.0	2733.0	2636.0	2414.0	2242.0	2004.0	2005.0	1283.0	1151.0	1165.0	1296.0	1333.0	1182.0	1195.0	1014.0	1082.0	805.0	747.0	645.0	625.0	529.0	531.0	456.0	420.0	397.0	311.0	265.0	272.0	382.0	345.0	311.0	285.0	285.0	260.0	414.0	425.0	288.0	332.0	339.0	311.0	238.0	228.0	215.0	138.0	119.0	102.0	98.0	90.0	79.0	68.0	57.0	51.0	
        Hombres	
